States,District,Town,Lat,Lon
Johor,Batu Pahat,Batu Pahat,1.856777,102.926379
Johor,Batu Pahat,Batu Pahat,1.9544,102.855
Johor,Batu Pahat,Batu Pahat,1.919,102.92
Johor,Batu Pahat,Batu Pahat,1.836635,102.922609
Johor,Batu Pahat,Batu Pahat,1.847132,102.926561
Johor,Batu Pahat,Batu Pahat,1.851955,102.931538
Johor,Batu Pahat,Batu Pahat,1.841035,102.931884
Johor,Batu Pahat,Batu Pahat,1.853458,102.934856
Johor,Batu Pahat,Batu Pahat,1.853,102.936
Johor,Batu Pahat,Batu Pahat,1.846452,102.937253
Johor,Batu Pahat,Batu Pahat,1.741,103.044
Johor,Batu Pahat,Batu Pahat,1.862,103.092
Johor,Batu Pahat,Batu Pahat,1.8391,103.1269
Johor,Batu Pahat,Batu Pahat,1.8659,103.1578
Johor,Johor Bahru,Johor Bahru,1.4975,103.6163
Johor,Johor Bahru,Johor Bahru,1.4645,103.7447
Johor,Johor Bahru,Johor Bahru,1.477076,103.745404
Johor,Johor Bahru,Johor Bahru,1.478402,103.756835
Johor,Johor Bahru,Johor Bahru,1.5187,103.7571
Johor,Johor Bahru,Johor Bahru,1.494932,103.76296
Johor,Johor Bahru,Johor Bahru,1.5675,103.77166
Johor,Johor Bahru,Johor Bahru,1.48932,103.7896
Johor,Kluang,Kluang,1.9943,103.264
Johor,Kluang,Kluang,2.027244,103.302863
Johor,Kluang,Kluang,2.065617,103.304307
Johor,Kluang,Kluang,2.043,103.3203
Johor,Kluang,Kluang,2.056096,103.32033
Johor,Kluang,Kluang,2.0248,103.3218
Johor,Kluang,Kluang,2.017579,103.32798
Johor,Kluang,Kluang,1.9862,103.3282
Johor,Kluang,Kluang,2.054365,103.33361
Johor,Kluang,Kluang,2.043978,103.343858
Johor,Kluang,Kluang,2.0696,103.344
Johor,Kluang,Kluang,2.055807,103.354107
Johor,Kluang,Kluang,1.99,103.362
Johor,Kluang,Kluang,2.104,103.454
Johor,Kota Tinggi,Kota Tinggi,1.714558,103.863434
Johor,Kota Tinggi,Kota Tinggi,1.763802,103.875622
Johor,Kota Tinggi,Kota Tinggi,1.7568,103.8806
Johor,Kota Tinggi,Kota Tinggi,1.7148,103.8964
Johor,Kota Tinggi,Kota Tinggi,1.741497,103.899998
Johor,Kota Tinggi,Kota Tinggi,1.7891,103.9102
Johor,Kota Tinggi,Kota Tinggi,1.7405,103.9107
Johor,Kota Tinggi,Kota Tinggi,1.753507,103.9333
Johor,Kulai,Kulai,1.651629,103.563799
Johor,Kulai,Kulai,1.680112,103.58045
Johor,Kulai,Kulai,1.6809,103.5848
Johor,Kulai,Kulai,1.65935,103.590235
Johor,Kulai,Kulai,1.6331,103.6003
Johor,Kulai,Kulai,1.6484,103.6006
Johor,Kulai,Kulai,1.6632,103.6013
Johor,Kulai,Kulai,1.638759,103.612722
Johor,Mersing,Mersing,2.501758,103.797262
Johor,Mersing,Mersing,2.4775,103.8173
Johor,Mersing,Mersing,2.455257,103.819922
Johor,Mersing,Mersing,2.4165,103.8315
Johor,Mersing,Mersing,2.4299,103.8459
